Employee_ID,Job_Title,Performance_Score,Work_Hours_Per_Week,Projects_Handled,Employee_Satisfaction_Score,Team_Size,Training_Hours,Promotions,Resigned,technical_skills,skill_proficiency,preferred_role,collaboration_score,personality_type,communication_style,work_habits,teamwork_style,leadership_score,project_interests,availability,Department,Gender,Age,Hire_Date,Years_At_Company,Education_Level,Monthly_Salary,Overtime_Hours,Sick_Days,Remote_Work_Frequency,past_projects,time_zone
17,Engineer,2,43,26,3.15,6,76,2,False,"React, TypeScript",9,Mobile Dev,3,ESTJ,Discord,Remote,6,1,"FinTech, UX",23,Operations,Male,29,2019-09-21 08:03:05.556036,4,Bachelor,7200.0,29,12,0,DeFi,GMT+8
18,Developer,3,47,36,1.19,12,54,0,False,"C++, Robotics",6,Mobile Dev,3,ISTJ,Teams,Agile,6,7,"AI, Ethics",32,Sales,Other,28,2022-11-08 08:03:05.556036,1,High School,6500.0,6,12,75,E-Commerce,GMT+-6
19,Developer,1,57,9,1.12,1,36,0,False,"Swift, iOS Dev",1,Data Analyst,1,ENTJ,Teams,Office,8,9,"FinTech, UX",25,Customer Support,Other,56,2015-10-01 08:03:05.556036,8,Bachelor,5500.0,24,1,75,Finance Apps,GMT+-12
20,Technician,2,52,0,3.91,5,66,0,False,"Golang, DevOps",2,Mobile Dev,5,ISFP,Slack,Hybrid,5,5,"AI, Bioinformatics",25,Finance,Male,23,2015-05-08 08:03:05.556036,9,High School,4200.0,9,1,0,SaaS,GMT+1
21,Manager,1,33,28,3.7,15,53,2,False,"Python, NLP",1,Embedded Dev,2,ISFJ,Email,Hybrid,2,3,Cloud Computing,33,Operations,Female,33,2022-12-19 08:03:05.556036,1,Bachelor,6600.0,13,13,50,AI Startups,GMT+5
22,Manager,5,30,22,4.66,4,20,0,False,"PHP, Laravel",10,Data Analyst,9,INFJ,Discord,Agile,5,7,"AI, Bioinformatics",25,Sales,Male,59,2017-05-25 08:03:05.556036,7,Master,9000.0,9,2,25,Finance Apps,GMT+12
23,Specialist,4,48,40,3.68,13,71,2,False,"Python, NLP",8,DevOps Engineer,4,INFJ,Slack,Remote,4,10,E-commerce,19,Finance,Male,26,2016-07-23 08:03:05.556036,8,High School,6300.0,9,13,0,AI Research,GMT+12
24,Consultant,2,55,2,4.26,6,78,2,False,"Python, TensorFlow",3,Frontend Dev,1,ENFJ,Teams,Office,9,2,"NLP, AI Ethics",22,Sales,Male,58,2018-01-21 08:03:05.556036,6,Master,6600.0,28,8,25,AI Research,GMT+-3
25,Analyst,2,50,21,4.43,7,49,1,False,"Swift, iOS Dev",6,Blockchain Dev,3,ISTP,Email,Hybrid,1,7,"AI, Bioinformatics",27,HR,Female,38,2018-06-23 08:03:05.556036,6,Bachelor,4800.0,24,11,25,Marketplace,GMT+1
26,Specialist,5,59,24,2.12,3,9,2,False,"React, TypeScript",6,Blockchain Dev,8,ISTJ,Zoom,Office,5,9,Cloud Computing,20,Customer Support,Male,38,2022-05-03 08:03:05.556036,2,Bachelor,6750.0,0,13,25,AI Startups,GMT+-2
27,Engineer,2,59,24,3.16,7,26,1,False,"Golang, DevOps",5,Mobile Dev,10,ISFP,Slack,Office,6,9,"AI, Hardware",26,Finance,Male,45,2021-07-12 08:03:05.556036,3,Bachelor,7200.0,23,6,0,Web Apps,GMT+3
28,Manager,3,44,42,1.35,4,45,2,True,"C#, Unity",10,DevOps Engineer,4,ESTP,Zoom,Hybrid,5,7,"AI, Ethics",16,Legal,Male,43,2014-11-22 08:03:05.556036,9,Master,7800.0,3,10,75,"IoT, Robotics",GMT+-3
29,Specialist,2,31,34,4.52,6,42,1,False,"Python, ML",2,AI Researcher,2,ISFP,Email,Remote,5,2,Data Science,43,Engineering,Male,53,2022-04-17 08:03:05.556036,2,Bachelor,5400.0,14,6,50,FinTech Apps,GMT+-7
30,Analyst,3,45,25,4.95,2,37,2,False,"Java, Spring",6,Mobile Dev,10,ISFP,Slack,Agile,2,2,"FinTech, UX",27,Finance,Male,52,2023-06-21 08:03:05.556036,1,High School,5200.0,29,9,25,E-Commerce,GMT+9
31,Consultant,1,38,15,4.65,12,16,2,False,"Swift, iOS Dev",10,Web Dev,7,ENFP,Email,Office,4,4,"AI, Hardware",24,Customer Support,Male,58,2018-05-14 08:03:05.556036,6,Bachelor,6050.0,25,2,50,E-Commerce,GMT+-7
32,Manager,4,39,25,1.95,18,22,0,False,"Swift, iOS Dev",4,Designer,8,ENFP,Slack,Hybrid,9,10,"SaaS, Web3",11,Legal,Female,24,2023-06-12 08:03:05.556036,1,High School,8400.0,7,7,50,AI Research,GMT+-7
33,Analyst,2,48,49,4.43,17,37,0,False,"SQL, PostgreSQL",10,DevOps Engineer,1,INTJ,Teams,Office,3,1,"FinTech, AI",25,Customer Support,Male,29,2024-06-13 08:03:05.556036,0,High School,4800.0,16,14,50,E-Commerce,GMT+-7
34,Engineer,4,44,26,2.1,18,37,2,False,"SQL, PostgreSQL",5,Database Admin,2,ESTJ,Slack,Remote,8,6,Data Science,43,Sales,Female,25,2021-09-11 08:03:05.556036,2,PhD,8400.0,24,8,75,NLP Research,GMT+-5
35,Analyst,4,34,13,1.94,14,36,1,False,"C#, Unity",3,DevOps Engineer,9,ESTJ,Teams,Agile,1,5,HealthTech,35,Marketing,Male,41,2019-05-23 08:03:05.556036,5,Master,5600.0,0,10,75,Indie Games,GMT+11
36,Engineer,5,31,9,4.21,8,21,1,False,"C#, Unity",10,ML Engineer,7,INTJ,Discord,Hybrid,9,8,HealthTech,34,HR,Female,42,2019-10-12 08:03:05.556036,4,Master,9000.0,18,11,100,Healthcare AI,GMT+8
37,Consultant,2,53,42,4.97,16,18,1,False,"Rust, Blockchain",6,Web Dev,4,INTJ,Slack,Agile,9,6,"FinTech, UX",32,Sales,Male,43,2024-04-04 08:03:05.556036,0,High School,6600.0,10,2,0,Marketplace,GMT+-10
38,Consultant,2,31,6,2.47,2,48,0,False,"Python, ML",8,Embedded Dev,3,ENFJ,Discord,Hybrid,5,9,Data Science,24,Sales,Other,46,2015-01-13 08:03:05.556036,9,Master,6600.0,15,7,0,"IoT, Robotics",GMT+12
39,Specialist,1,46,7,2.66,11,6,1,False,"C#, Unity",10,Data Analyst,9,INTP,Discord,Remote,1,10,"Design, HCI",24,IT,Male,48,2022-02-03 08:03:05.556036,2,Bachelor,4950.0,1,1,0,Healthcare AI,GMT+8
40,Engineer,5,44,2,4.22,14,85,1,False,"Python, R",4,Mobile Dev,5,ESTJ,Discord,Office,1,3,"AI, Ethics",23,HR,Female,58,2023-04-11 08:03:05.556036,1,Bachelor,9000.0,2,8,100,Web Apps,GMT+-3
41,Analyst,2,59,45,2.9,16,28,2,True,"Java, Spring",5,Web Dev,4,ISTP,Slack,Agile,7,5,"Design, HCI",29,HR,Female,44,2020-12-25 08:03:05.556036,3,Bachelor,4800.0,9,13,0,SaaS,GMT+-1
42,Specialist,4,33,10,4.84,8,28,2,False,"Python, ML",7,Database Admin,6,ISTP,Email,Office,4,10,"SaaS, Web3",26,Marketing,Male,29,2021-10-31 08:03:05.556036,2,High School,6300.0,6,2,25,FinTech Apps,GMT+12
43,Engineer,3,46,48,3.59,13,21,0,False,"UI/UX, Figma",6,DevOps Engineer,4,ISTP,Slack,Agile,5,1,"AI, Bioinformatics",14,Customer Support,Male,60,2016-08-11 08:03:05.556036,8,Bachelor,7800.0,4,6,75,Healthcare AI,GMT+10
44,Manager,3,43,25,3.32,7,85,0,False,"Rust, Blockchain",3,DevOps Engineer,6,ENFP,Discord,Office,5,1,"Crypto, Security",16,Marketing,Female,43,2021-05-21 08:03:05.556036,3,High School,7800.0,2,3,0,NLP Research,GMT+-6
45,Developer,2,58,7,2.53,12,4,1,False,"Rust, Blockchain",4,Full Stack Dev,8,ISFJ,Teams,Office,2,4,"FinTech, AI",16,Customer Support,Female,46,2021-03-03 08:03:05.556036,3,Master,6000.0,29,3,25,AI Research,GMT+9
46,Specialist,2,31,19,1.59,7,90,1,False,"Golang, DevOps",10,Full Stack Dev,6,ENTP,Teams,Remote,2,5,"NLP, AI Ethics",33,HR,Female,29,2016-06-12 08:03:05.556036,8,High School,5400.0,11,6,75,AI Research,GMT+12
47,Technician,4,41,19,1.27,5,21,2,False,"PHP, Laravel",5,Full Stack Dev,6,INTP,Zoom,Remote,9,6,"Crypto, Security",22,HR,Male,32,2021-04-03 08:03:05.556036,3,Bachelor,4900.0,26,1,75,"IoT, Robotics",GMT+-8
48,Specialist,1,45,31,4.84,15,82,2,False,"SQL, PostgreSQL",3,Mobile Dev,4,INFJ,Zoom,Agile,9,10,E-commerce,26,Operations,Male,31,2023-11-23 08:03:05.556036,0,Bachelor,4950.0,20,2,75,Healthcare AI,GMT+-8
49,Specialist,5,59,49,2.9,17,13,1,False,"PHP, Laravel",5,Designer,7,ESTJ,Email,Hybrid,4,6,"Design, HCI",39,Legal,Male,40,2016-06-02 08:03:05.556036,8,High School,6750.0,0,2,100,E-Commerce,GMT+-8
50,Developer,2,53,10,1.47,3,15,0,False,"Swift, iOS Dev",2,Full Stack Dev,4,INTJ,Slack,Remote,1,6,"Crypto, Security",25,Operations,Other,57,2020-01-24 08:03:05.556036,4,High School,6000.0,19,13,50,"IoT, Robotics",GMT+11
51,Consultant,1,55,26,3.02,2,28,1,False,"Python, ML",7,Designer,2,ENFP,Slack,Agile,8,5,"NLP, AI Ethics",47,Legal,Female,35,2019-09-13 08:03:05.556036,4,Bachelor,6050.0,29,4,100,FinTech Apps,GMT+3
52,Developer,2,46,9,1.43,10,18,1,False,"JavaScript, Node.js",3,Designer,7,ISFJ,Teams,Agile,4,4,"Web Dev, SaaS",41,HR,Male,40,2017-03-21 08:03:05.556036,7,Bachelor,6000.0,12,8,25,CMS Systems,GMT+8
53,Consultant,3,38,34,2.56,5,12,0,False,"PHP, Laravel",1,Data Scientist,7,ISFJ,Email,Office,7,5,HealthTech,25,Engineering,Male,28,2015-06-03 08:03:05.556036,9,Bachelor,7150.0,4,3,0,AI Research,GMT+1
54,Technician,2,50,22,1.1,1,92,1,False,"UI/UX, Figma",9,Web Dev,1,ISTJ,Email,Agile,2,4,E-commerce,42,Engineering,Female,37,2015-10-24 08:03:05.556036,8,High School,4200.0,0,8,100,Healthcare AI,GMT+-6
55,Technician,5,32,26,1.87,3,68,1,True,"Rust, Blockchain",1,Web Dev,9,ESTJ,Slack,Office,1,9,"Crypto, Security",15,Operations,Female,34,2015-08-15 08:03:05.556036,9,High School,5250.0,6,6,25,AI Startups,GMT+-6
56,Developer,3,41,18,1.7,8,7,0,False,"SQL, PostgreSQL",1,AI Researcher,2,INTJ,Email,Hybrid,6,1,"Crypto, Security",31,Marketing,Female,34,2021-11-25 08:03:05.556036,2,Bachelor,6500.0,21,3,75,Web Apps,GMT+-12
57,Specialist,1,33,46,2.64,1,36,2,True,"Java, Spring",10,Web Dev,9,INTP,Teams,Agile,1,6,Data Science,37,Customer Support,Female,33,2016-04-17 08:03:05.556036,8,PhD,4950.0,28,8,75,DeFi,GMT+-9
58,Developer,4,32,42,3.97,3,27,2,False,"Python, ML",7,AI Researcher,3,ENFP,Discord,Remote,9,1,Data Science,40,Finance,Male,23,2019-07-21 08:03:05.556036,5,Bachelor,7000.0,8,12,0,"IoT, Robotics",GMT+0
59,Technician,3,53,7,4.23,12,74,2,True,"PHP, Laravel",9,Embedded Dev,10,ESTJ,Discord,Remote,4,8,Data Science,40,IT,Other,52,2024-07-03 08:03:05.556036,0,High School,4550.0,5,2,25,Cloud Security,GMT+10
60,Manager,1,51,17,3.02,5,99,1,False,"Java, Spring",10,Mobile Dev,5,ENTP,Teams,Remote,7,3,"FinTech, AI",23,Customer Support,Female,54,2019-09-05 08:03:05.556036,5,Bachelor,6600.0,19,8,50,SaaS,GMT+-12
61,Consultant,2,40,17,2.32,6,20,1,False,"C#, Unity",8,Embedded Dev,7,INTP,Email,Office,10,9,"NLP, AI Ethics",23,Operations,Female,34,2021-05-21 08:03:05.556036,3,Bachelor,6600.0,14,4,50,Web Apps,GMT+-2
62,Specialist,5,43,44,2.15,16,75,2,False,"Swift, iOS Dev",6,Database Admin,8,INTJ,Slack,Hybrid,10,8,"FinTech, UX",40,Engineering,Male,53,2017-07-11 08:03:05.556036,7,High School,6750.0,0,13,75,CMS Systems,GMT+1
63,Manager,3,44,29,2.26,18,73,1,False,"Python, R",7,Embedded Dev,1,INTJ,Email,Hybrid,9,9,"FinTech, UX",20,Sales,Male,27,2018-05-23 08:03:05.556036,6,Bachelor,7800.0,12,0,75,Cloud Security,GMT+1
64,Manager,4,50,10,1.68,17,21,0,True,"C++, Robotics",8,Database Admin,10,ESTP,Email,Agile,9,4,"FinTech, UX",43,Finance,Female,58,2018-01-23 08:03:05.556036,6,High School,8400.0,14,9,25,Web Apps,GMT+-4
65,Specialist,1,41,37,4.33,5,3,0,False,"PHP, Laravel",5,Mobile Dev,5,ISFP,Teams,Office,9,9,Data Science,31,Sales,Female,41,2018-11-19 08:03:05.556036,5,Bachelor,4950.0,13,9,75,Marketplace,GMT+-12
66,Technician,4,54,32,2.13,2,12,1,False,"Python, NLP",5,Embedded Dev,6,ENFP,Discord,Hybrid,7,9,"FinTech, UX",36,Legal,Male,37,2024-07-16 08:03:05.556036,0,Bachelor,4900.0,4,3,25,Web Apps,GMT+12
67,Manager,2,55,30,4.26,19,93,0,False,"Rust, Blockchain",3,AI Researcher,6,ESTP,Zoom,Hybrid,8,10,"NLP, AI Ethics",14,Sales,Male,49,2017-01-03 08:03:05.556036,7,Master,7200.0,19,0,75,AI Research,GMT+-8
68,Consultant,2,53,10,2.45,3,64,2,False,"JavaScript, Node.js",7,Blockchain Dev,8,ISTJ,Slack,Agile,5,8,"AI, Bioinformatics",29,HR,Male,39,2024-08-14 08:03:05.556036,0,Bachelor,6600.0,17,14,50,Indie Games,GMT+-5
69,Specialist,4,52,6,2.42,5,9,0,False,"Java, Spring",10,Full Stack Dev,8,ESTP,Slack,Agile,3,9,"AI, Bioinformatics",19,Operations,Female,38,2016-07-21 08:03:05.556036,8,Bachelor,6300.0,9,6,0,DeFi,GMT+-6
70,Manager,1,32,2,4.45,16,8,0,False,"Swift, iOS Dev",1,Data Scientist,1,INTJ,Zoom,Remote,10,10,"FinTech, AI",29,Sales,Male,52,2015-11-26 08:03:05.556036,8,Master,6600.0,13,11,25,NLP Research,GMT+0
71,Developer,1,53,20,4.49,8,75,1,False,"Python, R",9,Backend Dev,6,ENFJ,Email,Office,6,8,"AI, Bioinformatics",50,IT,Female,42,2023-01-13 08:03:05.556036,1,High School,5500.0,13,8,100,Finance Apps,GMT+-10
72,Analyst,4,53,1,3.55,11,15,2,False,"Swift, iOS Dev",6,ML Engineer,4,INTJ,Email,Remote,1,3,Data Science,34,Engineering,Female,42,2023-07-17 08:03:05.556036,1,Master,5600.0,16,11,50,E-Commerce,GMT+-7
73,Developer,2,36,42,1.31,5,41,0,False,"PHP, Laravel",8,Web Dev,6,INFJ,Email,Agile,1,4,HealthTech,32,Sales,Female,33,2023-01-08 08:03:05.556036,1,Bachelor,6000.0,15,1,0,"IoT, Robotics",GMT+-6
74,Developer,2,37,6,4.98,12,8,1,False,"Rust, Blockchain",7,Backend Dev,2,ISTP,Teams,Hybrid,7,9,"FinTech, UX",18,Legal,Female,47,2020-01-18 08:03:05.556036,4,Bachelor,6000.0,15,1,0,Indie Games,GMT+-5
75,Consultant,2,31,6,1.39,10,1,1,False,"Swift, iOS Dev",3,Database Admin,2,ENFJ,Zoom,Office,2,1,E-commerce,32,HR,Female,33,2024-04-29 08:03:05.556036,0,High School,6600.0,24,10,75,Indie Games,GMT+5
76,Consultant,4,55,36,1.75,10,84,1,False,"Python, TensorFlow",6,Data Analyst,7,INTJ,Email,Hybrid,10,9,"NLP, AI Ethics",45,Engineering,Male,47,2018-04-11 08:03:05.556036,6,High School,7700.0,22,3,100,Healthcare AI,GMT+4
77,Technician,3,32,46,3.2,19,82,0,False,"PHP, Laravel",10,Backend Dev,5,INFJ,Slack,Hybrid,9,2,"FinTech, UX",11,Customer Support,Male,31,2017-05-24 08:03:05.556036,7,PhD,4550.0,19,0,50,NLP Research,GMT+5
78,Developer,5,42,28,3.55,1,38,1,False,"Swift, iOS Dev",4,Blockchain Dev,4,ISTP,Slack,Agile,2,10,"Crypto, Security",36,Sales,Male,28,2020-10-17 08:03:05.556036,3,Master,7500.0,6,6,25,AI Startups,GMT+7
79,Consultant,3,60,36,3.5,5,94,2,True,"Golang, DevOps",4,AI Researcher,1,INTJ,Slack,Office,1,7,"Web Dev, SaaS",30,Legal,Male,46,2016-02-05 08:03:05.556036,8,High School,7150.0,27,13,25,Indie Games,GMT+8
80,Specialist,1,31,27,2.09,12,53,1,False,"UI/UX, Figma",3,Data Analyst,5,INTJ,Discord,Hybrid,9,6,"Game Dev, AI",47,Customer Support,Female,54,2019-02-20 08:03:05.556036,5,High School,4950.0,5,6,0,Cloud Security,GMT+0
81,Developer,3,38,12,3.75,13,94,0,False,"C++, Robotics",8,Game Developer,7,ISFJ,Email,Remote,2,5,Cloud Computing,46,Legal,Female,55,2024-05-07 08:03:05.556036,0,Master,6500.0,25,6,100,SaaS,GMT+5
82,Specialist,3,40,19,3.4,14,0,0,True,"Python, TensorFlow",4,Blockchain Dev,6,ESTP,Slack,Remote,6,2,"Game Dev, AI",15,Customer Support,Female,23,2016-12-14 08:03:05.556036,7,High School,5850.0,14,14,100,Web Apps,GMT+-6
83,Analyst,2,35,24,1.33,4,85,0,False,"Python, ML",7,Data Analyst,1,ISFJ,Teams,Remote,9,9,E-commerce,44,Engineering,Male,46,2021-06-23 08:03:05.556036,3,Bachelor,4800.0,10,13,0,DeFi,GMT+-8
84,Analyst,1,53,38,2.17,17,67,2,False,"JavaScript, Node.js",8,AI Researcher,9,INTJ,Teams,Hybrid,6,4,Data Science,22,HR,Female,28,2016-03-23 08:03:05.556036,8,Master,4400.0,22,14,100,AI Research,GMT+7
85,Specialist,2,44,16,4.27,11,0,1,False,"Java, Spring",6,Mobile Dev,10,ENFJ,Email,Agile,7,5,HealthTech,11,Marketing,Female,46,2015-09-16 08:03:05.556036,8,Bachelor,5400.0,13,13,100,Healthcare AI,GMT+-6
86,Engineer,4,33,11,2.37,5,40,2,False,"C#, Unity",8,Data Analyst,4,ESTP,Slack,Office,7,8,Cloud Computing,44,Legal,Female,59,2015-02-11 08:03:05.556036,9,Bachelor,8400.0,7,4,100,Web Apps,GMT+-11
87,Technician,3,59,1,1.77,17,59,2,False,"Java, Spring",8,DevOps Engineer,10,ISTJ,Email,Hybrid,1,10,HealthTech,46,Marketing,Male,55,2019-11-14 08:03:05.556036,4,PhD,4550.0,9,1,25,NLP Research,GMT+-6
88,Technician,2,33,45,1.11,18,12,0,False,"SQL, PostgreSQL",1,Backend Dev,3,ISTP,Slack,Hybrid,10,3,"AI, Bioinformatics",29,Marketing,Male,52,2019-07-05 08:03:05.556036,5,Bachelor,4200.0,2,4,50,CMS Systems,GMT+-11
89,Engineer,2,31,1,2.08,15,22,1,False,"Python, TensorFlow",7,Designer,7,ENTP,Zoom,Hybrid,8,8,"FinTech, UX",41,Finance,Female,27,2023-11-06 08:03:05.556036,0,Master,7200.0,25,5,0,DeFi,GMT+11
90,Manager,4,33,11,3.22,9,53,0,False,"C++, Robotics",7,Designer,9,ISFP,Email,Office,7,6,"FinTech, AI",24,Customer Support,Female,39,2018-01-19 08:03:05.556036,6,Bachelor,8400.0,10,2,100,FinTech Apps,GMT+4
91,Consultant,2,44,42,3.23,9,26,2,True,"Python, ML",2,Mobile Dev,9,ENFJ,Slack,Office,7,2,"AI, Hardware",42,Customer Support,Male,55,2024-03-15 08:03:05.556036,0,Bachelor,6600.0,5,6,0,AI Startups,GMT+-7
92,Developer,1,42,11,3.69,15,84,1,True,"Golang, DevOps",2,Mobile Dev,4,ENTJ,Zoom,Remote,6,1,"NLP, AI Ethics",47,Legal,Male,48,2019-07-13 08:03:05.556036,5,Bachelor,5500.0,26,12,100,FinTech Apps,GMT+12
93,Manager,4,54,9,3.66,15,3,2,False,"React, TypeScript",1,Embedded Dev,10,ISFJ,Discord,Office,6,10,E-commerce,22,Finance,Male,50,2023-11-09 08:03:05.556036,0,High School,8400.0,29,7,25,DeFi,GMT+3
94,Specialist,4,44,19,4.1,1,81,1,False,"Python, NLP",3,Full Stack Dev,6,INFJ,Teams,Hybrid,9,3,"AI, Ethics",16,Engineering,Male,52,2021-04-23 08:03:05.556036,3,High School,6300.0,10,7,50,Indie Games,GMT+-7
95,Developer,1,47,4,4.36,19,33,0,False,"C#, Unity",4,Full Stack Dev,10,ISFJ,Zoom,Remote,2,8,E-commerce,50,Operations,Male,52,2015-07-06 08:03:05.556036,9,High School,5500.0,19,10,0,FinTech Apps,GMT+7
96,Manager,3,49,24,1.03,19,43,2,True,"Python, NLP",2,Designer,8,ESTP,Email,Hybrid,3,6,"Crypto, Security",28,Marketing,Female,30,2019-04-11 08:03:05.556036,5,High School,7800.0,20,2,50,Indie Games,GMT+4
97,Specialist,3,45,24,2.34,7,0,0,False,"Java, Spring",4,Full Stack Dev,4,ENTP,Email,Remote,1,10,"Game Dev, AI",46,Engineering,Male,58,2015-04-14 08:03:05.556036,9,PhD,5850.0,16,12,50,Marketplace,GMT+-1
98,Manager,3,41,31,4.2,9,64,0,False,"SQL, PostgreSQL",7,Frontend Dev,1,ISFP,Email,Hybrid,10,10,HealthTech,18,Finance,Female,38,2015-12-31 08:03:05.556036,8,High School,7800.0,12,10,75,Healthcare AI,GMT+1
99,Developer,2,50,33,4.39,13,37,1,False,"UI/UX, Figma",6,Full Stack Dev,2,ISTJ,Zoom,Office,5,10,"SaaS, Web3",11,Sales,Male,24,2019-11-15 08:03:05.556036,4,Bachelor,6000.0,0,9,0,Web Apps,GMT+-11
100,Manager,3,36,9,3.19,13,30,1,True,"Python, ML",3,Mobile Dev,10,INFJ,Discord,Agile,6,2,E-commerce,20,Customer Support,Other,33,2017-12-01 08:03:05.556036,6,Bachelor,7800.0,10,14,25,Web Apps,GMT+12
101,Engineer,4,35,0,3.42,17,48,0,False,"Swift, iOS Dev",7,Data Analyst,9,ENFJ,Teams,Agile,8,2,"FinTech, AI",49,Finance,Female,45,2017-12-29 08:03:05.556036,6,High School,8400.0,18,14,75,NLP Research,GMT+1
102,Consultant,1,54,31,3.63,2,48,1,True,"C++, Robotics",7,Frontend Dev,9,ENTP,Email,Remote,8,4,E-commerce,22,IT,Female,33,2019-11-22 08:03:05.556036,4,High School,6050.0,11,3,0,NLP Research,GMT+5
103,Consultant,3,49,45,5.0,6,57,2,True,"React, TypeScript",3,Full Stack Dev,2,ISFJ,Email,Remote,6,10,"Game Dev, AI",24,IT,Male,33,2020-01-07 08:03:05.556036,4,Bachelor,7150.0,29,2,75,Finance Apps,GMT+5
104,Consultant,4,59,44,2.13,12,53,1,False,"Python, ML",6,Blockchain Dev,6,ISFJ,Discord,Remote,5,3,"Web Dev, SaaS",32,Engineering,Male,58,2018-01-20 08:03:05.556036,6,Bachelor,7700.0,18,13,100,Marketplace,GMT+-11
